날짜,매출금액,매출건수
20250317,84319,7
20250317,45082,4
20250317,109710,4
20250317,359360,9
20250317,42582,2
20250317,99786,4
20250317,27477,2
20250317,27619,2
20250317,32074,2
20250317,37420,2
20250317,28510,2
20250317,91342,9
20250317,18621,2
20250317,10691,2
20250317,40984,4
20250317,39202,4
20250317,77851,2
20250317,93906,2
20250317,32074,2
20250317,326087,7
20250317,242108,7
20250317,96222,2
20250317,445474,2
20250317,106914,2
20250317,905319,2
20250317,1657163,2
20250317,2280827,2
20250318,4455,2
20250318,8909,2
20250318,7840,4
20250318,7243,2
20250318,4098,2
20250318,4455,2
20250318,3386,2
20250318,15681,2
20250318,34925,2
20250318,4989,2
20250318,21026,5
20250318,6194,2
20250318,96222,2
20250318,146673,11
20250318,203603,14
20250318,20492,2
20250318,104711,5
20250318,52566,4
20250318,376550,21
20250318,23165,4
20250318,122060,5
20250318,32074,2
20250318,25962,2
20250318,18443,2
20250318,467195,4
20250318,190663,2
20250318,23740,2
20250318,96222,2
20250318,49002,2
20250318,88471,5
20250318,188097,12
20250318,20492,2
20250318,32074,2
20250318,24768,2
20250318,471311,4
20250318,48111,2
20250318,46630,2
20250318,48111,2
20250318,267284,2
20250318,178190,2
20250318,133642,2
20250318,2933713,2
20250318,712758,2
20250318,947969,2
20250318,2837669,2
20250319,68560,2
20250319,13917,2
20250319,13238,2
20250319,1959068,4
20250319,3564,2
20250319,4455,2
20250319,3564,2
20250319,34453,2
20250319,4989,2
20250319,7484,2
20250319,4455,2
20250319,3564,2
20250319,81290,2
20250319,81237,4
20250319,87160,7
20250319,53760,4
20250319,12473,2
20250319,24947,2
20250319,279875,11
20250319,154437,7
20250319,196258,4
20250319,47915,4
20250319,22986,2
20250319,3695463,4
20250319,190422,11
20250319,56987,4
20250319,89095,5
20250319,32074,2
20250319,14255,2
20250319,63542,2
20250319,29847,4
20250319,244065,9
20250319,46329,4
20250319,144334,2
20250319,17819,2
20250319,302922,2
20250319,73722,2
20250319,638719,2
20250319,6240200,2
20250319,35460,2
20250319,6771,2
20250320,25456,4
20250320,13917,2
20250320,97749,5
20250320,673047,2
20250320,851577,2
20250320,4455,2
20250320,3386,2
20250320,3564,2
20250320,3564,2
20250320,4277,2
20250320,5346,2
20250320,18999,2
20250320,13942,2
20250320,61743,5
20250320,38904,4
20250320,55406,4
20250320,31819,4
20250320,82375,5
20250320,7821,2
20250320,75731,7
20250320,102096,9
20250320,39250,4
20250320,72263,4
20250320,63995,7
20250320,223767,12
20250320,198569,11
20250320,100677,4
20250320,32074,2
20250320,89665,9
20250320,788721,66
20250320,2415217,164
20250320,9057947,207
20250320,14254490,119
20250320,39220,4
20250320,459159,21
20250320,2250374,125
20250320,14924572,369
20250320,10219048,278
20250320,12186172,169
20250320,864986,23
20250320,1960,2
20250320,73681,4
20250320,87188,2
20250320,25837,2
20250320,89273,4
20250320,53920,5
20250320,43104,5
20250320,26728,2
20250320,187954,7
20250320,22274,2
20250320,121837,4
20250320,4455,2
20250320,198681,4
20250320,48111,2
20250320,278883,7
20250320,48111,2
20250320,62366,2
20250320,32074,2
20250320,34925,2
20250320,514882,2
20250320,31540,2
20250321,13917,2
20250321,15273,2
20250321,6771,2
20250321,17106,2
20250321,4098,2
20250321,4455,2
20250321,7128,2
20250321,7484,2
20250321,9622,2
20250321,3564,2
20250321,40093,4
20250321,200759,11
20250321,120278,5
20250321,45617,5
20250321,25837,2
20250321,190984,9
20250321,44378,5
20250321,38133,4
20250321,99786,2
20250321,59052,5
20250321,38418,2
20250321,23824,2
20250321,25339,2
20250321,40984,2
20250321,172398,9
20250321,33143,2
20250321,63161,4
20250321,96222,4
20250321,9569,2
20250321,23165,2
20250321,128120,7
20250321,28510,2
20250321,253633,7
20250321,65574,2
20250321,90478,2
20250321,97808,4
20250321,41875,2
20250321,168264,7
20250321,243712,7
20250321,109123,4
20250321,160647,2
20250321,18888,2
20250321,196009,2
20250321,2940128,2
20250321,697612,4
20250321,1413977,2
20250321,684248,2
20250321,2289736,2
20250321,739041,2
20250322,883141,2
20250322,852256,2
20250322,1470998,2
20250322,7840,2
20250322,3678,2
20250322,4098,2
20250322,4098,2
20250322,14077,2
20250322,4098,2
20250322,10335,2
20250322,3972,2
20250322,4567,2
20250322,8019,2
20250322,19601,2
20250322,43564,4
20250322,23165,2
20250322,138133,4
20250322,296224,4
20250322,105244,2
20250322,152299,9
20250322,55239,2
20250322,36511,4
20250322,84640,2
20250322,65039,2
20250322,20759,2
20250322,105132,2
20250322,112259,5
20250322,213828,2
20250322,89095,4
20250322,111725,4
20250322,39202,2
20250322,83749,2
20250322,91850,2
20250322,124733,4
20250322,48111,2
20250322,1069138,2
20250322,16928,2
20250322,4989309,2
20250322,176671,2
20250322,1603706,2
20250322,459729,2
20250323,590232,2
20250323,7840,4
20250323,8197,2
20250323,4989,2
20250323,4601,2
20250323,7662,2
20250323,11588,2
20250323,7306,2
20250323,5702,2
20250323,35638,2
20250323,58803,2
20250323,39202,2
20250323,62366,2
20250323,35082,2
20250323,19601,2
20250323,181753,2
20250323,114041,4
20250323,96222,2
20250323,78724,4
20250323,102746,2
20250323,7381949,4
20250324,2707464,4
20250324,32922,2
20250324,3564,2
20250324,4455,2
20250324,4098,2
20250324,4455,2
20250324,5702,2
20250324,11035,2
20250324,3564,2
20250324,7840,2
20250324,4455,2
20250324,4277,2
20250324,7840,2
20250324,5167,2
20250324,124198,2
20250324,362976,12
20250324,204918,7
20250324,49893,2
20250324,190235,7
20250324,90877,2
20250324,588026,5
20250324,115823,2
20250324,12865,2
20250324,4205,2
20250324,93550,5
20250324,5357484,4
20250324,49216,2
20250324,24448,2
20250324,891,2
20250324,35718,2
20250324,37063,2
20250324,12295,2
20250324,135780,5
20250324,96222,4
20250324,72167,2
20250324,25659,2
20250324,356379,2
20250324,231646,4
20250324,4299359,5
20250324,513186,2
20250324,101568,2
20250324,4018354,2
20250324,875675,2
20250324,541942,2
20250325,17819,2
20250325,1332520,4
20250325,5091,2
20250325,3564,2
20250325,4098,2
20250325,10335,2
20250325,5702,2
20250325,4989,2
20250325,39914,2
20250325,4277,2
20250325,5346,2
20250325,3564,2
20250325,16215,2
20250325,104241,7
20250325,16928,2
20250325,83749,2
20250325,20323,2
20250325,54669,2
20250325,141172,11
20250325,131718,9
20250325,112397,4
20250325,75731,4
20250325,21490,2
20250325,60584,2
20250325,96222,2
20250325,64148,2
20250325,71686,4
20250325,64148,2
20250325,32074,2
20250325,32074,2
20250325,36155,4
20250325,85531,5
20250325,89398,5
20250325,55916,2
20250325,19601,2
20250325,52388,2
20250325,7751,2
20250325,80025,2
20250325,48111,2
20250325,62651,4
20250325,65039,4
20250325,48111,2
20250325,1781896,2
20250325,582145,2
20250325,1545688,4
20250325,4473806,2
20250325,167498,2
20250325,2266572,2
20250325,2583749,4
20250325,162687,4
20250325,1995723,2
20250325,1704847,2
20250325,213828,2
20250325,4454740,2
20250326,13917,2
20250326,946272,2
20250326,634016,2
20250326,616705,2
20250326,4455,2
20250326,3564,2
20250326,8909,4
20250326,3860,2
20250326,8607,2
20250326,4098,2
20250326,2673,2
20250326,13899,4
20250326,3920,2
20250326,3386,2
20250326,13542,2
20250326,10157,4
20250326,14077,4
20250326,92106,7
20250326,317962,14
20250326,60023,5
20250326,25349,2
20250326,60584,2
20250326,253899,11
20250326,64148,7
20250326,37420,4
20250326,26996,2
20250326,103261,7
20250326,67213,5
20250326,86903,4
20250326,203457,5
20250326,14355,2
20250326,1309562,5
20250326,17605,4
20250326,19369,2
20250326,140271,4
20250326,18496,2
20250326,22274,2
20250326,157395,11
20250326,61832,4
